<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
LQD,20030101,109.69,109.69,109.69,109.69,0
MDY,20030101,78.65,78.65,78.65,78.65,0
MLN,20030101,9.2,9.2,9.2,9.2,0
MNM,20030101,8.5,8.5,8.5,8.5,0
MSN,20030101,4.97,4.97,4.97,4.97,0
MXC,20030101,4,4,4,4,0
NBH,20030101,13.5,13.5,13.5,13.5,0
NBO,20030101,13.27,13.27,13.27,13.27,0
NBW,20030101,13.2,13.2,13.2,13.2,0
NBY,20030101,630,630,630,630,0
NEN,20030101,13.8833,13.8833,13.8833,13.8833,0
NG,20030101,3.28,3.28,3.28,3.28,0
NHC,20030101,17.5,17.5,17.5,17.5,0
NML,20030101,8.6,8.6,8.6,8.6,0
OEF,20030101,44.46,44.46,44.46,44.46,0
OIH,20030101,382,382,382,382,0
PCG-A,20030101,17.85,17.85,17.85,17.85,0
PCG-B,20030101,16.6,16.6,16.6,16.6,0
PCG-C,20030101,15.1,15.1,15.1,15.1,0
PCG-D,20030101,15,15,15,15,0
PCG-E,20030101,15.1,15.1,15.1,15.1,0
PCG-G,20030101,14.4,14.4,14.4,14.4,0
PCG-H,20030101,14.35,14.35,14.35,14.35,0
PCG-I,20030101,11.5,11.5,11.5,11.5,0
PGF,20030101,18.95,18.95,18.95,18.95,0
PRK,20030101,98.8,98.8,98.8,98.8,0
PTN,20030101,1.98,1.98,1.98,1.98,0
PW,20030101,9,9,9,9,0
PZA,20030101,1.19,1.19,1.19,1.19,0
RVP,20030101,3.8,3.8,3.8,3.8,0
RWR,20030101,38.721,38.721,38.721,38.721,0
SBB,20030101,39.04,39.04,39.04,39.04,0
SCC,20030101,268.8,268.8,268.8,268.8,0
SDP,20030101,301.44,301.44,301.44,301.44,0
SEB,20030101,242,242,242,242,0
SHM,20030101,0.38,0.38,0.38,0.38,0
SIF,20030101,2.5,2.5,2.5,2.5,0
SIL,20030101,44.4,44.4,44.4,44.4,0
SIM,20030101,0.9,0.9,0.9,0.9,0
SLI,20030101,5.3,5.3,5.3,5.3,0
SPY,20030101,88.23,88.23,88.23,88.23,0
SRS,20030101,219,219,219,219,0
SSY,20030101,2.39,2.39,2.39,2.39,0
SVT,20030101,3.55,3.55,3.55,3.55,0
TMP,20030101,40.09,40.09,40.09,40.09,0
TRT,20030101,2.24,2.24,2.24,2.24,0
UUU,20030101,4.785,4.785,4.785,4.785,0
VFL,20030101,15.3,15.3,15.3,15.3,0
VGZ,20030101,4.08,4.08,4.08,4.08,0
VKI,20030101,14.5,14.5,14.5,14.5,0
VTI,20030101,41.315,41.315,41.315,41.315,0
VXF,20030101,24.805,24.805,24.805,24.805,0
VYM,20030101,14.11,14.11,14.11,14.11,0
WTT,20030101,1.89,1.89,1.89,1.89,0
XLB,20030101,19.84,19.84,19.84,19.84,0
XLE,20030101,22.33,22.33,22.33,22.33,0
XLF,20030101,17.8862,17.8862,17.8862,17.8862,0
XLG,20030101,2.8,2.8,2.8,2.8,0
XLI,20030101,20.59,20.59,20.59,20.59,0
XLK,20030101,14.8,14.8,14.8,14.8,0
XLP,20030101,19.94,19.94,19.94,19.94,0
XLU,20030101,19.15,19.15,19.15,19.15,0
XLV,20030101,26.55,26.55,26.55,26.55,0
XLY,20030101,23.11,23.11,23.11,23.11,0
